,title,imgrl
0,Beige Dabu Print Cotton Flared Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_600x.jpg?v=1625847290
1,Brick Red Block Print Floral Hot Pants,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-329598_600x.jpg?v=1626171553
2,Black Elasticated Short Cotton Boxers,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-591242_600x.jpg?v=1625848026
3,Purple Flannel Convertible Pant Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot1_600x.jpg?v=1642053487
4,White Hand Beaded Short Cotton Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-244024_600x.jpg?v=1625990991
5,Mauve Cotton Corduroy Baggy Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_600x.jpg?v=1625990578
6,Violet Striped Mangalgiri Cotton Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-603837_600x.jpg?v=1625991042
7,Khaki Vegetable Dyed Handspun Short Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-683178_600x.jpg?v=1626083172
8,Cotton Grey Striped Paperbag Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255_600x.jpg?v=1625849646
9,Melon Orange Handspun Mirror Work Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968_600x.jpg?v=1626279953
10,Vegetable Dyed Off-White Paneled Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-120047_600x.jpg?v=1626283687
11,Indigo Cotton Denim Paneled Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788_600x.jpg?v=1611240888
12,Floral Block Print Comfort Fit Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-756458_600x.jpg?v=1625850454
13,Handspun Brown Flared Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-171324_600x.jpg?v=1626080841
14,Yellow Vegetable Dyed Handspun Short Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/yellow-vegetable-dyed-handspun-short-shorts-short-shorts-468816_600x.jpg?v=1626371454
15,Teal Solid Cotton Short Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3321new_600x.jpg?v=1640845263
16,Kashish Dabu Print High-Rise Comfort Fit Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-688473_600x.jpg?v=1626279264
17,Powder Blue Checkered Handspun Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-428206_600x.jpg?v=1625992472
18,Blue Vegetable Dyed Straight Fit Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-966099_600x.jpg?v=1625850728
19,Block Printed Striped Boxer Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-632362_600x.jpg?v=1626188018
20,Bottle Green Handspun Cotton Short Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1635copy_600x.jpg?v=1638421904
21,Cotton Beige Striped Paperbag Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-846996_600x.jpg?v=1625992611
22,Dusk Beige Cotton Corduroy Baggy Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-226961_600x.jpg?v=1625992953
23,Bagru Block Print Mustard Straight Shorts,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-542898_600x.jpg?v=1625993460
